,text
106,"Metal-halide based perovskite solar cells have rapidly emerged as a promising alternative to traditional inorganic and thin-film photovoltaics. Although charge transport layers are used on either side of perovskite absorber layers to extract photogenerated electrons and holes, the time scales for charge extraction and recombination are poorly understood. Ideal charge transport layers should facilitate large discrepancies between charge extraction and recombination rates. Here, we demonstrate that highly enriched semiconducting single-walled carbon nanotube (SWCNT) films enable rapid (sub-picosecond) hole extraction from a prototypical perovskite absorber layer and extremely slow back-transfer and recombination (hundreds of microseconds). The energetically narrow and distinct spectroscopic signatures for charges within these SWCNT thin films enables the unambiguous temporal tracking of each charge carrier with time-resolved spectroscopies covering many decades of time. The efficient hole extraction by the SWCNT layer also improves electron extraction by the compact titanium dioxide electron transport layer, which should reduce charge accumulation at each critical interface. Finally, we demonstrate that the use of thin interface layers of semiconducting single-walled carbon nanotubes between the perovskite absorber layer and a prototypical hole transport layer improves device efficiency and stability, and reduces hysteresis."
107,"Anomalous current–voltage (J–V) hysteresis in perovskite (PSK) solar cell is open to dispute, where hysteresis is argued to be due to electrode polarization, dipolar polarization, and/or native defects. However, a correlation between those factors and J–V hysteresis is hard to be directly evaluated because they usually coexist and are significantly varied depending on morphology and crystallinity of the PSK layer, selective contacts, and device architecture. In this study, without changing morphology and crystallinity of PSK layer in a planar heterojunction structure employing FA0.9Cs0.1PbI3, a correlation between J–V hysteresis and trap density is directly evaluated by means of thermally induced PbI2 regulating trap density. Increase in thermal annealing time at a given temperature of 150 °C induces growth of PbI2 on the PSK grain surface, which results in significant reduction of nonradiative recombination. Hysteresis index is reduced from 0.384 to 0.146 as the annealing time is increased from 5 to 100 min due to decrease in the amplitude of trap-mediated recombination. Reduction of hysteresis by minimizing trap density via controlling thermal annealing time leads to the stabilized PCE of 18.84% from the normal planar structured FA0.9Cs0.1PbI3 PSK solar cell."
108,"The toxicity and the instability of lead-based perovskites might eventually hamper the commercialization of perovskite solar cells. Here, we present the optoelectronic properties and stability of a two-dimensional layered (C6H5CH2NH3)2CuBr4 perovskite. This material has a low Eg of 1.81 eV and high absorption coefficient of ∼1 × 105 cm–1 at the most intensive absorption at 539 nm, implying that it is suitable for light-harvesting in thin film solar cells, especially in tandem solar cells. Furthermore, X-ray diffraction (XRD), ultraviolet–visible (UV–vis) absorption spectra, and thermogravimetric analysis (TGA) confirm the high stability toward humidity, heat, and ultraviolet light. Initial studies produce a mesoscopic solar cell with a power conversion efficiency of 0.2%. Our work may offer some useful inspiration for the further investigation of environment-friendly and stable organic–inorganic perovskite photovoltaic materials."
109,"Organo-metal halide perovskites (OMHPs) are materials with attractive properties for optoelectronics. They made a recent introduction in the photovoltaics world by methylammonium (MA) lead triiodide and show remarkably improved charge separation capabilities when chloride and bromide are added. Here we show how halide substitution in OMHPs with the nominal composition CH3NH3PbI2X, where X is I, Br, or Cl, influences the morphology, charge quantum yield, and local interaction with the organic MA cation. X-ray diffraction and photoluminescence data demonstrate that halide substitution affects the local structure in the OMHPs with separate MAPbI3 and MAPbCl3 phases. Raman spectroscopies as well as theoretical vibration calculations reveal that this at the same time delocalizes the charge to the MA cation, which can liberate the vibrational movement of the MA cation, leading to a more adaptive organic phase. The resonance Raman effect together with quantum chemical calculations is utilized to analyze the change in charge transfer mechanism upon electronic excitation and gives important clues for the mechanism of the much improved photovoltage and photocurrent also seen in the solar cell performance for the materials when chloride compounds are included in the preparation."
110,"A flexible, saddle-like, π-conjugated skeleton composed of four fused thiophene rings forming a cyclooctatetrathiophene (CoTh) with four triphenylamines (CoTh-TTPA) is presented as a hole-transporting material (HTM) for perovskite solar cells. The new HTM shows a bright red color stemming from a direct conjugation between the TPA groups and the central CoTh scaffold. This results in a charge transfer band due to the combination of the weak acceptor moiety, the CoTh unit, and the electron-donating p-methoxytriphenylamine groups. CoTh-TTPA exhibits a suitable highest-occupied molecular orbital (HOMO) level in relation to the valence band edge of the perovskite, which ensures efficient hole extraction at the perovskite/HTM interface. It has been applied as the HTM in combination with a mixed perovskite ([FAPbI3]0.85[MAPbBr3]0.15) and a state-of-the-art triple cation perovskite ([(FAPbI3)0.87(MAPbBr3)0.13]0.92[CsPbI3]0.08) reaching noticeable light-to-energy conversion efficiencies of 16.3 and 15.9%, respectively. These values are slightly lower than those measured for the benchmark spiro-OMeTAD HTM. The HTM properties have been analyzed by means of photoluminescence and conductivity experiments, which demonstrated a better hole extraction and conductivity for spiro-OMeTAD."
111,"Electron-transport layer (ETL)/perovskite interface modification plays a key task for producing efficient planar perovskite solar cells (PSCs). In this study, interfacial modification of compact TiO2 using novel, one-step hydrothermally synthesized single-crystalline anatase (AT) titania nanoparticles (TiO2 NPs) (average diameter = 6–10 nm) was applied as an ETL bilayer to enhance the efficient charge generation and extraction and eliminate the electron–hole recombination ratio. We report here an easy approach for enhancing the performance of planar PSCs by introducing a compact TiO2/AT TiO2 NPs bilayer through spray pyrolysis (SP) deposition and spin-coating (SC) techniques, respectively. The enhanced performance of the devices with an SP-TiO2/SC-AT TiO2 NPs bilayer facilitated more efficient electron transport, charge extraction, and low interfacial recombination. Ultimately, the best device had a 17.05% power conversion efficiency resulting from the significant decrease in J–V hysteresis, presenting almost a 12% performance improvement compared to the TiO2 only layer-based counterpart. Thus, the present study provides an important advance to the design of photovoltaic devices with respect to charge transport and electron–hole recombination."
112,"Two hole-extraction materials (HEMs), TPP-OMeTAD and TPP-SMeTAD, have been developed to facilitate the fabrication of efficient p-i-n perovskite solar cells (PVSCs). By replacing the oxygen atom on HEM with sulfur (from TPP-OMeTAD to TPP-SMeTAD), it effectively lowers the highest occupied molecular orbital of the molecule and provides stronger PbS interaction with perovskites, leading to efficient charge extraction and surface traps passivation. The TPP-SMeTAD-based PVSCs exhibit both improved photovoltaic performance and reduced hysteresis in p-i-n PVSCs over those based on TPP-OMeTAD. This work not only provides new insights on creating perovskite-HEM heterojunction but also helps in designing new HEM to enable efficient organic–inorganic hybrid PVSCs."
113,"In this report, we demonstrate that moisture/O2 in ambient air is the major issue for the photovoltaic performance degradation and severe photocurrent hysteresis of non-encapsulated planar-perovskite solar cells. Consequently, this leads to difficulty in determining the real power conversion efficiency (PCE). Upon longer storage time, the evidence of a small amount of iodine in the hole transport layer (HTL) led to hindering the charge transport from the HTL to the anode, thus resulting in the decrease of short-circuit current density and fill factor. Meanwhile, the transient chronoamperometry result suggests that the increase of hysteresis with storage time is ascribed to the changes of activation energy. It is further supported by X-ray photoelectron spectroscopy depth profile analysis, which revealed that penetration of moisture/O2 caused the shifts of iodine distribution within the perovskite layer after aging time of >72 h. Remarkably, effective moisture/O2 passivation can be achieved by combination of polyimide and UV-cured polymer as a novel encapsulation process, which exhibited an impressive stabilized PCE of above 14% (retained 97% of its initial efficiency) and simultaneously maintained the hysteresis up to ∼1000 h."
114,"Organolead halide perovskites such as CH3NH3PbX3 (X = I and Br) have attracted considerable attention since they were first used in dye-sensitized solar cells in 2009.1 Park et al.2 conducted a pioneer work on solid-state solar cells with CH3NH3PbI3 perovskite nanocrystals in 2012. In the same year, Snaith et al.3 also gained a breakthrough achievement on solid-state solar cells with an insulating Al2O3 layer. Afterwards, the power conversion efficiency (PCE) of solar cells with CH3NH3PbX3, called perovskite solar cells (PSCs), rapidly increased to more than 22%"
115,"Recently, Pb-based organometal halide perovskite solar cells have passed 20% power conversion efficiency (PCE). However, the main issue hampering commercialization is toxic Pb contained in these cells. Therefore, great attention is devoted to replace Pb by less harmful metals such as Bi. Yet, the most efficient methylammonium bismuth iodide (MBI) perovskite solar cells reported in literature reach PCE up to 0.2%. In this work, MBI perovskite solar cells, which are processed by spin-coating under inert nitrogen atmosphere, employing a standard non-inverted stack are presented. The control of perovskite morphology by modifying the process has been highlighted and the impact on photovoltaic (PV) characteristics has been shown. It is observed that the concentration of the perovskite solution (0.15–0.30 M) has a huge impact on the crystallite size, and the rotation speed during the spin-coating process determines the layer coverage. Exposure of MBI solar cells to ambient air is found to be essential to obtain the highest short-circuit current and open-circuit voltage. The PCE increases over time, from 0.004% directly after processing up to 0.17% after 48 h. The fabricated cells exhibit an open-circuit voltage of 0.72 V, which is the highest value published for this type of solar cell."
116,"Low-temperature-processed perovskite solar cells (PSCs), especially those fabricated on flexible substrates, exhibit device performance that is worse than that of high-temperature-processed PSCs. One of the main reasons for the inferior performance of low-temperature-processed PSCs is the loss of photogenerated electrons in the electron collection layer (ECL) or related interfaces, i.e., indium tin oxide/ECL and ECL/perovskite. Here, we report that tailoring of the energy level and electron transporting ability in oxide ECLs using Zn2SnO4 nanoparticles and quantum dots notably minimizes the loss of photogenerated electrons in the low-temperature-fabricated flexible PSC. The proposed ECL with methylammonium lead halide [MAPb(I0.9Br0.1)3] leads to fabrication of significantly improved flexible PSCs with steady-state power conversion efficiency of 16.0% under AM 1.5G illumination of 100 mW cm–2 intensity. These results provide an effective method for fabricating high-performance, low-temperature solution-processed flexible PSCs."
117,"Four novel benzotriazole-based donor-acceptor-donor (D-A-D) type hole transport materials (HTMs) BTA1-2 and DT1-2 are synthesized to investigate the effect of the acceptors on the photovoltaic performance of perovskite solar cells (PSCs). The acceptors include nonfused core (thiophene-benzotriazole-thiophene) and fused core (dithienopyrrolobenzotriazole, DTBT). Systematical investigation reveals that the acceptor greatly influences the absorption, energy level, hole transfer and extraction, and photovoltaic performances of the HTMs. The dopant-free HTMs DT1-2 with DTBT core exhibit better hole transfer and extraction performance, and then obtain better photovoltaic performance than that of BTA1-2. Especially, the PSC using DT2 without any dopants obtains a power conversion efficiency of 13.22%, which is outperforming than that of spiro-OMeTAD (10.41%). When doping with Li-TFSI/TBP (lithium bis(trifluoromethylsulphonyl)imide/tert-butylpyridine), DT2-based cell achieves an improved efficiency of 15.77%. In addition, the different alkoxyl chain lengths on triphenylamine has a significant impact on the conductivity, hole mobility, hole extraction, and photovoltaic performance. The stability testing of the PSCs shows that the four HTMs based devices display improved stability than spiro-OMeTAD. These results certify that the fused acceptor core DTBT is a promising core for efficient D-A-D type HTMs towards PSCs."
118,"Conventional materials for gas/vapor sensing are limited to a single probe detection ability for specific analytes. However, materials capable of concurrent detection of two different probes in their respective harmful levels and using two types of sensing modes have yet to be explored. In particular, the concurrent detection of uncomfortable humidity levels and CO2 concentration (400–5000 ppm) in confined spaces is of extreme importance in a great variety of fields, such as submarine technology, aerospace, mining, and rescue operations. Herein, we report the deliberate construction and performance assessment of extremely sensitive sensors using an interdigitated electrode (IDE)-based capacitor and a quartz crystal microbalance (QCM) as transducing substrates. The unveiled sensors are able to simultaneously detect CO2 within the 400–5000 ppm range and relative humidity levels below 40 and above 60%, using two fluorinated metal–organic frameworks, namely, NbOFFIVE-1-Ni and AlFFIVE-1-Ni, fabricated as a thin film. Their subtle difference in a structure–adsorption relationship for H2O and CO2 was analyzed to unveil the corresponding structure–sensing property relationships using both QCM- and IDE-based sensing modes."
119,"Electrochemical benzylation of [60]fullerene-fused lactones with different motifs unexpectedly affords three types of ring-opened benzylated adducts under different conditions. Both [60]fullerene-fused δ- and γ-lactones can be benzylated to generate ring-opened mono- and bis-benzylated adducts in good yields. In addition, representative fullerene products have been applied as efficient electron-transport materials in perovskite solar cells."
120,"High efficiency and long-term stability are vital for further development of perovskite solar cells (PSCs). PSCs based on cesium lead halide perovskites exhibit better stability but lower power conversion efficiencies (PCEs), compared with organic-inorganic hybrid perovskites. Lower PCE is likely associated with trap defects, overgrowth of partial crystals and irreversible phase transition in the films. Here we introduce a strategy to fabricate high-efficiency CsPbBr3-based PSCs by controlling the ratio of CsBr and PbBr2 to form the perovskite derivative phases (CsPb2Br5/Cs4PbBr6) via a vapor growth method. Following post-annealing, the perovskite derivative phases as nucleation sites transform to the pure CsPbBr3 phase accompanied by crystal rearrangements and retard rapid recrystallization of perovskite grains. This growth procedure induced by phase transition not only makes the grain size of perovskite films more uniform, but also lowers the surface potential barrier that existsbetween the crystals and grain boundaries. Owing to the improved film quality, a PCE of 10.91% was achieved for n-i-p structured PSCs with silver electrodes, and a PCE of 9.86% for hole-transport-layer-free devices with carbon electrodes. Moreover, the carbon electrode-based devices exhibited excellent long-term stability and retained 80% of the initial efficiency in ambient air for more than 2000 h without any encapsulation."
121,"CuO nanowires (NWs) with the diameters ranging from 130 to 275 nm have been successfully prepared by electrospinning technique, followed by a calcination process. Inverted planar heterojunction perovskite solar cells (PSCs) with the structure of indium tin oxide/CuO NWs/poly(3,4-ethylenedioxythiophene) (PEDOT):poly(styrenesulphonate) (PSS)/CH3NH3PbI3/phenyl C61-butyric acid methyl ester/Bphen/Ag were designed, achieving a best power conversion efficiency (PCE) of 16.87%, which is 21% improvement compared to that of the control PSCs without CuO NWs. By the characterizations of an optical microscope, X-ray diffraction, and scanning electron microscopy, it was found that CuO NWs have uniform morphology and orderly arrangement. Electrochemical impedance spectrometry and external quantum efficiency were used to reveal the effect of CuO NWs on the performance of PSCs. Compared to ZnO NWs with the same diameters and quantitative analysis based on a simple model, we conclude that the improvement of PCE by about 13% can be ascribed to the increase of the PEDOT:PSS/CH3NH3PbI3 interface area and the remaining increase of 8% can be attributed to the higher hole mobility of the CuO NWs/PEDOT:PSS composite film. The results indicate that the efficiency of PSCs will have a significant enhancement when the optimal CuO NWs are introduced into the charge transport layer."
122,"A new small molecular hole-transporting material, 1,3,6,8-tetrakis[N-(p-methoxyphenyl)-N′-(9,9′-dimethyl-9H-fluoren-2-yl)-amino]pyrene (TFAP) was synthesized and applied in CH3NH3PbI3-perovskite solar cells. A best power conversion efficiency of 19.7% with a photovoltage of 1.11 V has been achieved."
123,"Inorganic perovskite CsPbI3 has been studied as a promising alternative light-absorbing material for photovoltaic application due to its suitable band gap for converting solar light and enhanced stability toward ambient conditions compared to the organic–inorganic halide perovskite. However, the photoactive α-phase of CsPbI3 can only be stabilized at a high temperature and the phase transition from α-phase to δ-phase easily occurs at room temperature. Herein, ytterbium (III) chloride (YbCl3) as a bifunctional additive is introduced into the perovskite precursor to stabilize the black α-phase, and high-quality CsPbI3 films are obtained at a temperature as low as 80 °C. Yb3+ partly replaces Pb2+ to enhance the tolerance factor and favors the formation of α-phase. The Lewis adduct complex of YbCl3·DMSO in the perovskite film can passivate the perovskite film with reduced defects and help enhance the stability of the α-phase. The YbCl3-modified planar-type α-CsPbI3 perovskite solar cells show a champion power conversion efficiency of 12.4% with an impressive stability at ambient conditions. The additive induced controlled crystallization provides a simple and promising way to improve the photovoltaic performance of inorganic perovskite solar cells."
124,"Organometal-halide perovskites continue to attract a large number of solar enthusiasts due to their intrinsic properties as promising solar absorbers with relatively low processing cost. However, commercialization of perovskite solar cells remains distant, especially in the planar perovskite configuration, because of various problems such as inconsistency, poor environmental stability, and small-scale production. In this study, we present the use of complimentary electron transporting layers (ETLs) as a highly effective approach to cover the weaknesses of individual ETLs while boosting the strengths of various ETL compositions. Heterogeneous AITO/SnO2 ETL based device demonstrates paramount efficiency of 18.90% and exhibits superior stability maintaining 93% of its initial efficiency after 25 days in the absence of encapsulation at relative humidity of 30–40%. Furthermore, the simple addition of a consistent AITO layer allows improvement in reproducibility, while the simple addition of a SnO2 layer exhibits significant enhancement in electron mobility and reduction in recombination sites at the AITO/perovskite interface. In essence, our results suggest the use of compatible heterogeneous ETLs as an appealing method to provide synergistic enhancements in various photovoltaic parameters, device stability, and also device reproducibility of planar perovskite devices."
125,"Perovskite solar cells (PSCs) attract great attention due to their low cost and high efficiency. In general, the Au cathode, a key component in PSCs, is prepared via an uneconomic vacuum thermal deposition method. Instead, the sputtering deposition method is much more economic and faster. However, it is generally thought that the organic hole transport layer such as 2,2′,7,7′-tetrakis[N,N-di(4-methoxyphenyl)amino]-9,9′-spirobifluorene (Spiro-OMeTAD) can be easily damaged by the high energy plasma during the sputtering process. Thus, the performance of the PSCs greatly decreases. Herein, the structure of the planar PSCs is carefully manipulated by matching the thickness of Spiro-OMeTAD layer and the Au film. With the further engineering of the interface of the Au/Spiro-OMeTAD, the planar PSCs with the sputtered Au cathode exhibit a highly reproducible average efficiency of 17.6% ± 0.8%, with the best efficiency of 18.3%. In addition, the Cu electrode is demonstrated by the sputtering method. Finally, the Au sputter deposition is scaled up to make a high efficiency (14.7%) 10 × 10 cm2 module. This demonstrates well that the sputtering deposition of the metal cathode is an effective way for the fabrication of high efficient PSCs for future industrialization."
126,"High-performance planar-heterojunction (PHJ) solar cells based on large band-gap (1.70–1.83 eV) perovskites are demonstrated. By incorporating Cl− into the MAPb(I1-YBrY)3, the crystallinity and homogeneity of the solution-processed perovskite thin films are much improved, which results in an increased charge carrier diffusion length from ≈160 nm to ≈700–800 nm. This enhancement leads to a high power conversion efficiency (PCE) of 10% in the low-temperature solution-processed PHJ devices. "
127,"Metal-halide perovskites show promise as highly efficient solar cells, light-emitting diodes, and other optoelectronic devices. Ensuring long-term stability is now a major priority. In this study, an ultrathin (2 nm) layer of polyethylenimine ethoxylated (PEIE) is used to functionalize the surface of C60 for the subsequent deposition of atomic layer deposition (ALD) SnO2, a commonly used electron contact bilayer for p–i–n devices. The enhanced nucleation results in a more continuous initial ALD SnO2 layer that exhibits superior barrier properties, protecting Cs0.25FA0.75Pb(Br0.20I0.80)3 films upon direct exposure to high temperatures (200 °C) and water. This surface modification with PEIE translates to more stable solar cells under aggressive testing conditions in air at 60 °C under illumination. This type of “built-in” barrier layer mitigates degradation pathways not addressed by external encapsulation, such as internal halide or metal diffusion, while maintaining high device efficiency up to 18.5%. This nucleation strategy is also extended to ALD VOx films, demonstrating its potential to be broadly applied to other metal oxide contacts and device architectures."
128,"The ideal charge transport materials should exhibit a proper energy level, high carrier mobility, sufficient conductivity, and excellent charge extraction ability. Here, a novel electron transport material was designed and synthesized by using a simple and facile solvothermal method, which is composed of the core–shell ZnO@SnO2 nanoparticles. Thanks to the good match between the energy level of the SnO2 shell and the high electron mobility of the core ZnO nanoparticles, the PCE of inorganic perovskite solar cells has reached 14.35% (JSC: 16.45 mA cm–2, VOC: 1.11 V, FF: 79%), acting core–shell ZnO@SnO2 nanoparticles as the electron transfer layer. The core–shell ZnO@SnO2 nanoparticles size is 8.1 nm with the SnO2 shell thickness of 3.4 nm, and the electron mobility is seven times more than SnO2 nanoparticles. Meanwhile, the uniform core–shell ZnO@SnO2 nanoparticles is extremely favorable to the growth of inorganic perovskite films. These preliminary results strongly suggest the great potential of this novel electron transfer material in high-efficiency perovskite solar cells."
129,"Methylammonium bismuth iodide ((CH3NH3)3Bi2I9, MBI) is a promising alternative to perovskite solar cells (PSCs) due to its air stability and low-toxicity. Herein, a two-stage electric-field-assisted reactive deposition method has been introduced to prepare MBI films for the first time. PSCs based on MBI films were fabricated and characterized. The influences of electric parameters (applied voltage mode, pulse and time, etc.) on the morphology and crystal structure of MBI film correlated with the photovoltaic performance of PSCs have also been investigated systematically in detail. Through adjusting the voltage mode, crystal growth can be completely controlled, leading to a compact MBI film with large grain size. Moreover, the MBI film prepared by electrochemical deposition required no annealing. This work determined that the optimal performance of PSCs is based on the MBI film deposited by square-wave (AC) voltage mode (−7.3 V/+1 V, 5 Hz, 5 min). All devices exhibited long-term stability in ambient air (humidity of >50%) for more than 300 h. This study will inspire further research on the application of electrochemical deposition technique for other lead-free PSCs."
130,"Carbon-based all-inorganic CsPbBr3 perovskite solar cells (PSCs) have attracted growing interests due to low cost and excellent tolerances toward moisture, temperature, oxygen and ultraviolet light. However, carrier recombination of CsPbBr3 film and large energy level differences at CsPbBr3/carbon interface are still the most crucial problem for further enhancement of power conversion efficiency. In the current study, an intermediate energy level at CsPbBr3/carbon interface and CsPbBr3 film passivation are employed by coating hexane solution of CsPbBrxI3-x nanocrystals (NCs) on the perovskite layer. Through systematic study on interfacial engineering, it is found that CsPbBrxI3-x NCs with tunable energy level can remarkably reduce energy loss and hexane under passivation treatment can enlarge perovskite grain size as well as reduce trap state density. A champion power conversion efficiency of 9.45% is achieved for CsPbI3 NCs tailored all-inorganic CsPbBr3 PSC in comparison with 5.26% for NCs-free device, with the unencapsulated carbon-based CsPbBr3 PSC exhibiting remarkable long-term stability over 900 h in 80% relative humidity air atmosphere at 25 °C. This work provides an effective approach to promote charge extraction and reduce defect states density as well as enhance the performance of PSCs."
131,"Self-powered electrofluorochromic devices (EFCDs) have attracted particular attention for smart windows of green buildings. In this work, we report a perovskite solar cell (PSC) driven self-powered EFCD. For the first time, electrochromic material polyoxometalates (POMs) and a fluorescent component are made into wet adhesives. A special design feature is that POMs and magnesium composed a battery powering the EFCD bleaching, and the device can be quickly coloured after connecting with the PSCs by the electrical power generated through solar energy conversion. Therefore, without any additional external bias, the fabricated EFCD undergoes an electrochromic transition from white semitransparent to dark blue-tinted, and under UV it presents reversible fluorescence switching between yellow and dark."
132,"wo organic-inorganic halide CH3NH3PbI3 perovskite solar cells prepared in the same experimental batch but having different power conversion efficiencies −18.46% and 17.15%—were investigated based on the absolute electroluminescence (EL) efficiency measurements and traditional I-V measurements. The possible factors that affect the power conversion efficiency were also investigated. Comparing the experimental I-V curves of the two solar cells, it was found that the short-circuit currents (Jsc) were nearly the same; however, the open-circuit voltages (Voc) were markedly different. Moreover, the deduced I-V curves from the absolute EL efficiencies of the two solar cells, which were mainly affected by the material quality, were almost the same, proving that the device processing technology has a vital effect on Voc."
133,"Herein, we demonstrate a novel two-terminal perovskite/silicon mechanical tandem solar cell, fabricated by bonding a silicon cell upside down on a perovskite cell using a transparent conductive adhesive (TCA). The TCA consists of Ag-coated poly(methyl 2-methylpropenoate) microparticles embedded in a polymer adhesive. The Ag microparticles serve as an electrical current path, and the polymer adhesive mechanically bonds two sub-cells. The specific contact resistance and transmittance of the TCA layer were determined to be 5.46 × 10−2 Ω∙cm2 and >97.0%, respectively. Through an optical simulation, the current of the perovskite top cell was predicted to match the current of the p-type Si bottom cell with an Al back-surface field (BSF) layer when the thickness of MAPbI3 was 150 nm. The tandem cell fabricated under the optimal current matching conditions exhibited a current density of 15.43 mA cm-2, an open-circuit voltage of 1.59 V, and a fill factor of 79%, resulting in a steady-state efficiency of 19.4%. To the best of our knowledge, our result is the highest efficiency among two-terminal mechanical perovskite/silicon tandem cells. The unique structure of this tandem cell facilitates an excellent long-term stability without encapsulation in humid environment."
134,"Sn-doped TiO2 films are successfully co-electrodeposited from a single bath containing TiCl3 and SnCl2, providing a new and facile method for the preparation of metal-doped TiO2 thin films. Through systematic examinations on the film morphologies, optical, and electronic properties of the electrodeposited TiO2 films with different Sn-doping amount, it is utilized as the electron-transporting layer (ETL) in a perovskite solar cell (PSC). The photovoltaic performance of PSCs equipped with electrodeposited Sn-doped TiO2 ETL is improved considerably, which is mainly attributed to the increased carrier concentration and improved electron extraction capability due to Sn-doping. Currently, power conversion efficiency of planar-type PSC using 5% (molar ratio) Sn-doped TiO2 ETL achieves 16.8%, corresponding to a 9.8% improvement when comparing with the sample using pure TiO2 (15.3%)."
135,"Amelioration of the mobility and, in particular, the thermal stability of a hole-transporting molecular semiconductor is a practicable strategy to attain the enhancement of both power conversion efficiency (PCE) and operational durability of perovskite solar cells (PSCs). Here a cost-effective double-[4]helicene-based molecular semiconductor (DBC-OMeDPA) is synthesized for a solution-deposited thin film, exhibiting an improved hole mobility in comparison with state-of-the-art spiro-OMeTAD control. X-ray crystallographic analysis and theoretical calculation reveal the three-dimensional molecular stacking and multidirectional hole-transporting property of DBC-OMeDPA, clarifying the microscopic mechanism of the hole-transport process. A better PCE of 22% at the AM 1.5G conditions is achieved for PSCs with DBC-OMeDPA as the hole-transporter. Moreover, PSCs using DBC-OMeDPA characteristic of an elevated intrinsic glass transition temperature of 154 °C maintain a stable PCE output for hundreds of hours at 60 °C under equivalent full sunglight soaking."
136,"Forming a 2D capping layer has been recognized as an effective strategy to improve both efficiency and stability of organic–inorganic perovskite solar cells. However, constructing a 2D/3D heterostructure is difficult for inorganic perovskites due to their resistance to cation exchange reaction. Here, we report an effective in situ growth method to form a 2D/3D heterostructure for inorganic CsPbI2Br perovskite. The 2D capping layer was found to form a type-II heterojunction with 3D perovskites, facilitating hole extraction at the perovskite/hole transport layer interface. When exposed to a humid environment, the 2D/3D perovskite films showed greatly enhanced phase stability as compared to the pristine 3D perovskite films. As a result, the optimized 2D/3D CsPbI2Br device reached a power conversion efficiency of 14.5% with improved short-circuit current and significantly enhanced device moisture stability."
137,"Uniform and pinhole-free organic lead halide perovskite films in a large area are of paramount importance for achieving high power conversion efficiencies (PCEs) of perovskite solar modules (PSMs). To obtain such high-quality perovskite films in a large area, one commonly needs to prepare a perovskite intermediate phase, in which coordinated solvent number (CSN) seems to be a key parameter. However, the CSN is difficult to measure and control. To understand the relationship between the CSN and perovskite film quality, in situ evolution of the intermediate phase is investigated. The CSN in the intermediate phase film is measured by the high-accuracy balance. Uniform and pinhole-free perovskite films are reproducibly formed by tuning the CSN in the intermediate phase film with a mixed antisolvent of ethyl acetate (EA) and toluene (Tol) blended with a 1:1 volume ratio. A hole conductor–free PSM (10 × 10 cm2) thus fabricates and, based on printable carbon electrode, achieves a PCE of 10.2% in 52 cm2 active area. This effective method provides a promising direction for developing high-quality and large-area perovskite films for photovoltaic and other optoelectronic applications."
138,"All-inorganic cesium lead iodide perovskites (CsPbI3) are promising wide-bandgap materials for use in the perovskite/silicon tandem solar cells, but they easily undergo a phase transition from a cubic black phase to an orthorhombic yellow phase under ambient conditions. It is shown that this phase transition is triggered by moisture that causes distortion of the corner-sharing octahedral framework ([PbI6]4−). Here, a novel strategy to suppress the octahedral tilting of [PbI6]4− units in cubic CsPbI3 by systematically controlling the steric hindrance of surface organic terminal groups is provided. This steric hindrance effectively prevents the lattice distortion and thus increases the energy barrier for phase transition. This mechanism is verified by X-ray diffraction measurements and density functional theory calculations. Meanwhile, the formation of an organic capping layer can also passivate the surface electronic trap states of perovskite absorber. These modifications contribute to a stable power conversion efficiency (PCE) of 13.2% for the inverted planar perovskite solar cells (PSCs), which is the highest efficiency achieved by the inverted-structure inorganic PSCs. More importantly, the optimized devices retained 85% of their initial PCE after aging under ambient conditions for 30 days"
139,"For commercialization of perovskite solar cells (PSCs), the device stability issues attributed to degradation of perovskite material, photo and thermal instability, and photocurrent density-voltage (J-V) hysteresis behavior should be solved. Furthermore, most of presented high efficiency PSCs utilize an antisolvent-strategy to assist perovskite crystal growth with large grain-size and excellent coverage. To solve such issues, we developed fully-ambient-air and antisolvent-free processes for the fabrication of PSCs with perovskite-based composites (i.e., MAPbI3-xClx-Cu:NiO, MAPbI3-xClx-Cu:NiO-carbon-graphite and MAPbI3-xClx-Al2O3). Such perovskite composites based cells with interface engineering yielded high power-conversion-efficiency (PCE) of 18.6% and fill factor (FF) of 78.3% with excellent reproducibility. More importantly, the target cells showed hysteresis-free behavior and dramatic enhancement in air-, photo- and thermal-stability. Compared to the pristine cells, the target device showed remarkable long-term stability with retaining almost 100% of the initial values of Voc and Jsc, and ~94% of FF and PCE over 280 days."
